artifact;repo
org.apache.karaf.deployer:org.apache.karaf.deployer.spring;https://github.com/apache/karaf
org.apache.karaf.kar:org.apache.karaf.kar.core;https://github.com/apache/karaf
org.apache.karaf.shell:org.apache.karaf.shell.console;https://github.com/apache/karaf
org.apache.servicemix.bundles:org.apache.servicemix.bundles.ant;https://github.com/apache/servicemix-bundles
org.apache.xbean:xbean-finder-shaded;https://github.com/apache/geronimo-xbean
org.apache.lucene:lucene-analysis-phonetic;https://github.com/apache/lucene
org.apache.solr:solr-scripting;https://github.com/apache/solr
org.apache.xbean:xbean-naming;https://github.com/apache/geronimo-xbean
org.apache.olingo:odata-commons-api;https://github.com/apache/olingo-odata4
org.apache.olingo:odata-commons-core;https://github.com/apache/olingo-odata4
org.apache.olingo:odata-server-api;https://github.com/apache/olingo-odata4
org.apache.olingo:odata-server-core;https://github.com/apache/olingo-odata4
org.apache.olingo:odata-server-core-ext;https://github.com/apache/olingo-odata4
org.apache.axis2:addressing;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-java2wsdl;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-transport-base;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2;https://github.com/apache/axis-axis2-java-core
org.apache.hbase:hbase-shaded-client;https://github.com/apache/hbase/hbase-build-configuration/hbase-shaded/hbase-shaded-client
org.apache.juddi:juddi-client;https://github.com/apache/juddi
org.apache.juddi:juddi-core;https://github.com/apache/juddi
org.apache.axis2:axis2-json;https://github.com/apache/axis-axis2-java-core
org.apache.cxf.services.sts:cxf-services-sts-core;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-security;https://github.com/apache/cxf
org.apache.wss4j:wss4j-ws-security-dom;https://github.com/apache/ws-wss4j
org.apache.felix:org.apache.felix.scr;https://github.com/apache/felix-dev
org.apache.sling:org.apache.sling.testing.osgi-mock;https://github.com/apache/sling-org-apache-sling-testing-osgi-mock
org.apache.xbean:xbean-bundleutils;https://github.com/apache/geronimo-xbean
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jedis;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.lucene;https://github.com/apache/servicemix-bundles
org.apache.axis2:axis2-codegen;https://github.com/apache/axis-axis2-java-core
org.apache.axis2:axis2-saaj;https://github.com/apache/axis-axis2-java-core
org.apache.cxf.services.ws-discovery:cxf-services-ws-discovery-api;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-bindings-coloc;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-bindings-object;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-bindings-xml;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-databinding-aegis;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-features-clustering;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-management;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-security-saml;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-transports-http-hc;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-transports-jms;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-ws-mex;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-ws-rm;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-wsdl;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-common;https://github.com/apache/cxf
org.apache.cxf:cxf-tools-validator;https://github.com/apache/cxf
