artifact;repo
org.apache.servicemix.bundles:org.apache.servicemix.bundles.bcprov-jdk15on;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.commons:commons-fileupload2-jakarta-servlet5;https://gitbox.apache.org/repos/asf/commons-fileupload
org.apache.cxf:cxf-rt-databinding-jaxb;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-tools-java2ws;https://gitbox.apache.org/repos/asf/cxf
org.apache.felix:org.apache.felix.http.base;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.main.distribution;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.karaf.shell:org.apache.karaf.shell.core;https://gitbox.apache.org/repos/asf/karaf
org.apache.jena:apache-jena;https://gitbox.apache.org/repos/asf/jena
org.apache.karaf.features:org.apache.karaf.features.core;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.features:base;https://gitbox.apache.org/repos/asf/karaf
org.apache.felix:maven-bundle-plugin;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.karaf.deployer:org.apache.karaf.deployer.blueprint;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.deployer:org.apache.karaf.deployer.features;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.deployer:org.apache.karaf.deployer.kar;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.deployer:org.apache.karaf.deployer.spring;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.kar:org.apache.karaf.kar.core;https://gitbox.apache.org/repos/asf/karaf
org.apache.karaf.shell:org.apache.karaf.shell.console;https://gitbox.apache.org/repos/asf/karaf
org.apache.servicemix.bundles:org.apache.servicemix.bundles.ant;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.xbean:xbean-finder-shaded;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.lucene:lucene-analysis-phonetic;https://gitbox.apache.org/repos/asf?p=lucene
org.apache.solr:solr-scripting;https://gitbox.apache.org/repos/asf/solr
org.apache.xbean:xbean-naming;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.olingo:odata-commons-api;https://gitbox.apache.org/repos/asf/olingo-odata4
org.apache.olingo:odata-commons-core;https://gitbox.apache.org/repos/asf/olingo-odata4
org.apache.olingo:odata-server-api;https://gitbox.apache.org/repos/asf/olingo-odata4
org.apache.olingo:odata-server-core;https://gitbox.apache.org/repos/asf/olingo-odata4
org.apache.olingo:odata-server-core-ext;https://gitbox.apache.org/repos/asf/olingo-odata4
org.apache.axis2:addressing;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-java2wsdl;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-transport-base;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.hbase:hbase-shaded-client;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-shaded/hbase-shaded-client
org.apache.juddi:juddi-client;https://gitbox.apache.org/repos/asf/juddi.git/?p=juddi
org.apache.juddi:juddi-core;https://gitbox.apache.org/repos/asf/juddi.git/?p=juddi
org.apache.axis2:axis2-json;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.cxf.services.sts:cxf-services-sts-core;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-security;https://gitbox.apache.org/repos/asf/cxf
org.apache.wss4j:wss4j-ws-security-dom;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.felix:org.apache.felix.scr;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.sling:org.apache.sling.testing.osgi-mock;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-testing-osgi-mock
org.apache.xbean:xbean-bundleutils;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jedis;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.lucene;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.axis2:axis2-codegen;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-saaj;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.cxf.services.ws-discovery:cxf-services-ws-discovery-api;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-bindings-coloc;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-bindings-object;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-bindings-xml;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-databinding-aegis;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-features-clustering;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-management;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-security-saml;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-transports-http-hc;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-transports-jms;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-ws-mex;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-ws-rm;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-wsdl;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-tools-common;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-tools-validator;https://gitbox.apache.org/repos/asf/cxf
org.apache.felix:org.apache.felix.ipojo.annotations;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.ipojo.manipulator;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.geronimo.components:geronimo-transaction;https://gitbox.apache.org/repos/asf/geronimo-txmanager
org.apache.qpid:proton-j;https://gitbox.apache.org/repos/asf/qpid-proton-j
org.apache.sling:org.apache.sling.scripting.javascript;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-scripting-javascript
org.apache.wss4j:wss4j-bindings;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.wss4j:wss4j-policy;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.wss4j:wss4j-ws-security-policy-stax;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.wss4j:wss4j-ws-security-stax;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.openjpa:openjpa-kernel;https://gitbox.apache.org/repos/asf/openjpa
org.apache.openjpa:openjpa-lib;https://gitbox.apache.org/repos/asf/openjpa
org.apache.openjpa:openjpa-persistence;https://gitbox.apache.org/repos/asf/openjpa
org.apache.geronimo.components:geronimo-connector;https://gitbox.apache.org/repos/asf/geronimo-txmanager
org.apache.openjpa:openjpa-jdbc;https://gitbox.apache.org/repos/asf/openjpa
org.apache.camel:camel-context;https://gitbox.apache.org/repos/asf/camel
org.apache.camel:camel-xmlbeans;https://gitbox.apache.org/repos/asf/camel
org.apache.camel:camel-aws;https://gitbox.apache.org/repos/asf/camel
org.apache.jclouds.api:byon;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.api:docker;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.api:openstack-nova;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.driver:jclouds-jsch;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.driver:jclouds-slf4j;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.driver:jclouds-sshj;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.provider:aws-ec2;https://gitbox.apache.org/repos/asf/jclouds
org.apache.jclouds.provider:azurecompute-arm;https://gitbox.apache.org/repos/asf/jclouds
org.apache.camel:camel-swagger;https://gitbox.apache.org/repos/asf/camel
org.apache.camel:camel-elasticsearch5;https://gitbox.apache.org/repos/asf/camel
org.apache.felix:org.apache.felix.http.bridge;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.metatype;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.camel:camel-castor;https://gitbox.apache.org/repos/asf/camel
org.apache.lucene:lucene-analyzers-nori;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.johnzon:johnzon-core;https://gitbox.apache.org/repos/asf/johnzon
org.apache.servicemix.bundles:org.apache.servicemix.bundles.cglib;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.lucene:lucene-analyzers-stempel;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.sling:org.apache.sling.commons.osgi;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-commons-osgi
org.apache.jena:jena-sdb;https://gitbox.apache.org/repos/asf/jena
org.apache.jena:jena-fuseki;https://gitbox.apache.org/repos/asf/jena
org.apache.helix:helix-core;https://gitbox.apache.org/repos/asf/helix
org.apache.servicemix.bundles:org.apache.servicemix.bundles.saxon;https://gitbox.apache.org/repos/asf/servicemix-bundles
org.apache.ant:ant-apache-bcel;https://gitbox.apache.org/repos/asf/ant
org.apache.beam:beam-model-pipeline;https://gitbox.apache.org/repos/asf/beam
org.apache.beam:beam-runners-core-construction-java;https://gitbox.apache.org/repos/asf/beam
org.apache.beam:beam-runners-core-java;https://gitbox.apache.org/repos/asf/beam
org.apache.beam:beam-runners-java-fn-execution;https://gitbox.apache.org/repos/asf/beam
org.apache.geronimo.arthur:arthur-impl;https://gitbox.apache.org/repos/asf/geronimo-arthur
org.apache.geronimo.arthur:arthur-spi;https://gitbox.apache.org/repos/asf/geronimo-arthur
org.apache.jena:jena-osgi;https://gitbox.apache.org/repos/asf/jena
org.apache.mesos:mesos;https://gitbox.apache.org/repos/asf/mesos
org.apache.myfaces.core.extensions.quarkus:myfaces-quarkus;https://gitbox.apache.org/repos/asf/myfaces-master-pom
