artifact,done
com.peluware:freddy-cruder-jpa,true
com.payu.ratel:ratel-test-utils,true
com.perforce.p4maven:p4maven-mojo,true
com.pinterest.psc:psc-flink,true
com.plumelog:plumelog_ui,true
com.pig4cloud:pig-common-sentinel,true
com.pojosontheweb:woko-bootstrap-core,true
com.pontusvision:janusgraph-solr,true
com.peluware:spring-data-crud-jpa,true
com.pig4cloud:pigx-common-feign,true
com.peluware:omni-search-reactive-mutiny,true
com.playtika.reactivefeign:feign-reactor-java11-http2,true
com.playtika.nosql:aerospike-container,true
com.pig4cloud.plugin:datav-doc-plugin,true
com.pig4cloud:pigx-common-core,true
com.pig4cloud.screw:screw-extension,true
com.playtika.openapi.rapidoc:rapidoc-spring-boot-demo,true
com.paypal.selion:SeLion-Code-Generator,true
com.playtika.testcontainers:embedded-mssqlserver,true
com.paypal.dione:dione-spark,true
com.phonepe.commons:bonsai-core,true
com.pig4cloud:pigx-common-sentinel,true
com.pig4cloud.plugin:datav-security-form-login-plugin,true
com.peterlavalle.libgdx:demos.invaders.lwjgl,true
com.pinterest.l10nmessages:l10nmessages,true
com.peterlavalle:libgdx-degen.lwjgl,true
com.pinterest.psc:psc-integration-test,true
com.peterphi.std.config:configuration,true
com.pekinsoft:AppUtils,true
com.perelens:perelens-complete,true
com.peluware:storage-spring-gridfs,true
com.pentahohub:nexus-sms,true
com.paywholesail.mojo:numbers-maven-plugin,true
com.pojosontheweb:woko-groovy-init,true
com.pontusvision:example-remotegraph,true
com.polarcoral.monica:monica-starter,true
com.pippsford:SecurePRNG-image,true
com.pig4cloud:pig-common-core,true
com.pig4cloud.plugin:nacos-datasource-plugin-ext-base,true
com.pep1:pep1-build-tools,true
com.pontusvision:janusgraph-examples,true
com.pig4cloud:pigx-common-job,true
com.phandorax:transaction-id-parent,true
com.pnxtest:pnx-test-starter-core,true
com.pig4cloud:pig-common-security,true
com.plumelog:plumelog_log4j,true
com.phonepe.sentinel-ai:sentinel-ai-session,true
com.pentahohub:nexus-qrcode,true
com.pi4j:pi4j-example,true
com.power4j.kit:screw-core,true
com.pcistudio:simple-kms-core,true
com.pcistudio:task-processor-spring-jdbc,true
com.planet57.gossip:gossip-core,true
com.playtika.reactivefeign:feign-reactor-spring-configuration-sample,true
com.phonepe.sentinel-ai:sentinel-ai-toolbox-mcp,true
com.playtika.shepherd:kafka-functional-tests,true
com.playtika.nosql:aerospike-batch-updater,true
com.payu.ratel:ratel-server,true
com.phasebash.jsdoc:jsdoc3-integration-test,true
com.pholser:lambspec-core,true
com.phonepe.sentinel-ai:sentinel-ai-agent-memory,true
com.pcistudio:task-processor-core,true
com.peluware:omni-search-commons,true
com.phloc:isorelax,true
com.peachfuzzer.web:junit4,true
com.phandorax:exception-mapper-parent,true
com.peterphi.std:moxy,true
com.petercipov:traces-vizu,true
com.peachfuzzer.web:api,true
com.planet57.gossip:gossip-support,true
com.peterphi.aws.snapshotd:snapshotd,true
com.payrails.android:checkout,true
com.polarcoral.monica:monica-coordinator,true
com.playtika.reactivefeign:feign-reactor-rx3,true
com.playtika.reactivefeign:feign-reactor-spring-mvc,true
com.polarcoral.monica:monica-registry,true
com.pontusvision:example-hbase,true
com.playtika.reactivefeign:feign-reactor-webclient-jetty,true
com.paypal.juno:juno-client-impl,true
com.pig4cloud:pigx-common-security,true
com.payu.ratel:ratel-examples,true
com.peluware:omni-search-hibernate-reactive,true
com.pchudzik.springmock:springmock-spock,true
com.pig4cloud:pigx-common-oss,true
com.polarcoral.monica:monica-storage-filesystem,true
com.pojosontheweb:woko-web-bootstrap3,true
com.playtika.testcontainers:embedded-voltdb,true
com.pcistudio:codequality,true
com.playtika.reactivejson:json-rx2,true
com.pocketcombats.spring-jpa-admin:spring-jpa-admin,true
com.pkrete.xrd4j:server,true
com.pig4cloud:pigx-common-bom,true
com.peluware:spring-data-crud-mongo,true
com.pig4cloud:pig-common-swagger,true
com.pig4cloud:mybatis,true
com.petercipov:traces-stdio,true
com.peterlavalle:sablecc-maven-plugin,true
com.plainflow.analytics.java:analytics-cli,true
com.pnuema.android:pdfviewer,true
com.pekinsoft:ServiceProviders,true
com.paystack.android:design-system-android,true
com.planet57.gossip:gossip-bootstrap,true
com.pig4cloud:pig-common-feign,true
com.phonepe.drove:drove-jobexecutor,true
com.petercipov:traces-junit,true
com.pekinsoft:InputVerification,true
com.playtika.reactivejson:json-nonblocking,true
com.playtika.shepherd:kafka,true
com.plooh.adssi:store-map,true
com.pingcap.tispark:spark-wrapper-spark-3.0,true
com.pcistudio:task-processor-spring-jdbc-mariadb,true
com.pingcap.tispark:spark-wrapper-spark-3.1,true
com.pholser:lambspec-junit,true
com.pig4cloud.plugin:spring-cloud-starter-druid-monitor,true
com.pig4cloud.plugin:anti-replay-spring-boot-starter,true
com.plumelog:plumelog_trace,true
com.plumelog:plumelog-lite-spring-boot-starter,true
com.playtika.reactivejson:json-reactor,true
com.pcistudio:task-processor-spring-jdbc-mysql,true
com.paypal.selion:SeLion,true
com.pkrete.xrd4j:rest,true
com.pig4cloud.spring.boot:mybatis-spring-boot-starter,true
com.plooh.adssi:didp-messaging-service,true
com.phonepe.drove:drove-authentication,true
com.pig4cloud.redis:redis-search-boot-starter,true
com.perelens:perelens-test-resources,true
com.pig4cloud.plugin:kk-anti-reptile,true
com.peterphi.std.guice:stdlib-xml-testing,true
com.pep1:pep1-parent,true
com.payu.ratel:ratel-tests,true
com.pig4cloud.plugin:knife4j-spring-ui,true
com.peluware:omni-search-core,true
com.playtika.openapi.rapidoc:rapidoc-spring-boot,true
com.pentahohub.nexus:nexus-core,true
com.pcistudio:task-processor-spring-jdbc-h2,true
com.playtika.maven.plugins:mixin-maven-plugin,true
com.pnxtest:pnx-test-starter-http,true
com.pig4cloud.plugin:datav-database-pg-plugin,true
com.pep1:pep1-commons-storage,true
com.paypal.selion:SeLion-Project-BOM,true
com.plumelog:plumelog_dubbo,true
com.peterlavalle.libgdx:demos.invaders.android,true
com.pig4cloud.plugin:rocketmq-spring-boot3-starter,true
com.pinterest.psc:psc,true
com.plumelog:plumelog-http,true
com.phandorax:transaction-id-deployment,true
com.pig4cloud.nacos:nacos-console,true
com.playtika.testcontainers:embedded-mailhog,true
com.plainflow.analytics.java:analytics-spring-boot-starter,true
com.pingcap.tispark:tispark-assembly-3.0,true
com.pingcap.tispark:tispark-assembly-3.1,true
com.playtika.shepherd:common,true
com.peertopark.spring:data,true
com.peluware:storage-core,true
com.pettyfox.timeline:timeline-store-redis,true
com.pig4cloud.spring.boot:mybatis-spring-boot-autoconfigure,true
com.pentahohub.nexus:nexus-boot-starter-weixin,true
com.plumelog:plumelog_logback,true
com.pettyfox:java-suit-log,true
com.pig4cloud:pigx-upms-api,true
com.pojosontheweb:rjar,true
com.pkrete.xrd4j:client,true
com.power4j.example:dmsdk-build,true
com.pekinsoft:AppFramework,true
com.polarcoral.monica:monica-framework,true
com.pig4cloud:pig-common-xss,true
com.phonepe.drove:drove-statemachine,true
com.portableehr:PatientSDK,true
com.peluware:freddy-cruder-core,true
com.perelens:perelens-uberjar,true
com.peircean.libgfapi-jni:libgfapi-jni,true
com.pippsford:SecurePRNG-configurator,true
com.peertopark.java:commons,true
com.pentahohub.nexus:alipay-sdk-java,true
com.perficient.aem:aem-datalayer.core,true
com.pettyfox:java-suit-base,true
com.playtika.reactivefeign:feign-reactor-webclient-core,true
com.plainflow.analytics.java:analytics-sample,true
com.plumelog:plumelog_server,true
com.pinterest.l10nmessages:l10nmessages-proc,true
com.phactum.zeebe:zeebe-kafka-exporter,true
com.plooh.adssi:didp-messaging-app,true
com.pig4cloud:pig-common-log,true
com.pettyfox.base:java-suit-utils,true
com.pogofish.jadt:jADT-maven-plugin,true
com.peluware:omni-search-jpa,true
com.pdlpdl:pdl-mc-packet-log-core,true
com.peluware:omni-search-reactive-core,true
com.plumelog:plumelog_demo_dubbo,true
com.pinterest.psc:psc-examples,true
com.pholser:com-pholser-util-properties-propertybinder,true
com.power4j.kit:dict-mapper-spring-boot-starter,true
com.plumelog:plumelog_core,true
com.payulatam.fcontrol:fd-client-core,true
com.planbase:TaintedJpa,true
com.phandorax:exception-mapper,true
com.pcistudio:task-processor-spring-test,true
com.pig4cloud.plugin:anti-reptile-spring-boot-starter,true
com.pettyfox:java-suit-comms,true
com.peterlavalle:libgdx-degen.android,true
com.playtika.testcontainers:embedded-native-kafka,true
com.pinterest.psc:psc-logging,true
com.peluware:omni-search-mongo,true
com.pholser:com-pholser-util-properties-propertybinder-it,true
com.peluware:storage-disk,true
com.pinterest.psc:psc-flink-logging,true
com.payneteasy:telegram-bot-client,true
com.playtika.shepherd:kafka-example,true
com.paypal.dione:dione-hadoop,true
com.pig4cloud:pig-common-seata,true
com.pettyfox.timeline:timeline-mq-starter-redis,true
com.paypal.selion:SeLion-Common,true
com.pcistudio:task-processor-common,true
com.paypal.selion:SeLion-Grid,true
com.paypal.selion:SeLion-DataProviders,true
com.plooh.adssi:store-api,true
com.pettyfox.base:java-suit-log,true
com.perelens:perelens-statistics,true
com.pingcap.tispark:tispark-assembly-3.2_2.12,true
com.pentahohub:webjars-metronic,true
com.plainflow.analytics.java:analytics,true
com.pettyfox:java-suit-utils,true
com.plainflow.analytics.java:analytics-core,true
com.pocketcombats.spring-jpa-admin:bom,true
com.power4j.kit:screw-extension,true
com.pig4cloud:pig-common,true
com.playtika.nosql:reactor-batch-updater,true
com.perelens:perelens-simulation-risk,true
com.perelens:perelens-engine-core,true
com.pnxtest:pnx-test-bom,true
com.paywholesail.mojo:numbers-parent,true
com.peircean.glusterfs:glusterfs-java-filesystem-example,true
com.plumelog:spring-boot-schedule-admin-autoconfigure,true
com.pep1.jira:jira-spring-boot-client,true
com.pig4cloud.plugin:datav-sdk,true
com.pig4cloud.plugin:anti-replay-core,true
com.plooh.adssi:store-redis,true
com.pentahohub.nexus:nexus-weixin,true
com.plumelog:plumelog_rest,true
com.planbase.pdf:TaintedJpa,true
com.pig4cloud.screw:screw-core,true
com.pettyfox.timeline:timeline-store,true
com.plausiblelabs.warwizard:warwizard-core,true
SoftPosSdk:masterkernel,true
SoftPosSdk:visakernel,true
com.aerospike:aerospike-reactor-client,true
com.dwijnand:sbt-compat,true
com.github.agomezmoron:screen-recorder,true
com.google.cloud:google-cloud-bigtable-emulator,true
SoftPosSdk:master_aar,true
com.googlecode.jdbc-proc.jdbc-proc:jdbc-proc-daofactory,true
